author,year,journal,title,url,search_term,site
Jóhanna Barðdal,2006,Cognitive Linguistics,Construction-specific properties of syntactic subjects in Icelandic and German,https://doi.org/10.1515/COG.2006.002,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; intuitive judgment; ordinal ratings; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Ewa Dąbrowska,2008,Cognitive Linguistics,Questions with long-distance dependencies: A usage-based perspective,https://doi.org/10.1515/COGL.2008.015,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; linguistic intuition judgment; linguistic intuition rating; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Ben Ambridge; Adele E. Goldberg,2008,Cognitive Linguistics,The island status of clausal complements: Evidence in favor of an information structure explanation,https://doi.org/10.1515/COGL.2008.014,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; intuitive judgment; magnitude estimation; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Micah B. Goldwater; Arthur B. Markman,2009,Cognitive Linguistics,Constructional sources of implicit agents in sentence comprehension,https://doi.org/10.1515/COGL.2009.029,acceptability judgment; grammaticality judgment; intuitive judgment; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Elaine J. Francis,2010,Cognitive Linguistics,Grammatical weight and relative clause extraposition in English,https://doi.org/10.1515/cogl.2010.002,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; linguistic intuition judgment; linguistic intuition rating; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Ewa Dąbrowska,2013,Cognitive Linguistics,"Functional constraints, usage, and mental grammars: A study of speakers' intuitions about questions with long-distance dependencies",https://doi.org/10.1515/cog-2013-0022,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; linguistic intuition judgment; linguistic intuition rating; naïve rating; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Dilin Liu,2013,Cognitive Linguistics,Salience and construal in the use of synonymy: A study of two sets of near-synonymous nouns,https://doi.org/10.1515/cog-2013-0003,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; intuitive judgment; naïve rating; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Konrad Szczesniak,2013,Cognitive Linguistics,You can't cry your way to candy: Motion events and paths in the x's way construction,https://doi.org/10.1515/cog-2013-0006,acceptability judgment; grammaticality judgment; linguistic intuition judgment; naturalness judgment; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Clarice Robenalt; Adele E. Goldberg,2015,Cognitive Linguistics,"Judgment evidence for statistical preemption: It is relatively better to vanish than to disappear a rabbit, but a lifeguard can equally well backstroke or swim children to shore",https://doi.org/10.1515/cog-2015-0004,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; magnitude estimation; naïve rating; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Dagmar Divjak; Ewa Dąbrowska; Antti Arppe,2016,Cognitive Linguistics,Machine Meets Man: Evaluating the Psychological Reality of Corpus-based Probabilistic Models,https://doi.org/10.1515/cog-2015-0101,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; linguistic intuition judgment; linguistic intuition rating; meta-linguistic judgment; meta-linguistic rating; naturalness judgment; naturalness rating; naïve rating; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Véronique Verhagen; Maria Mos,2016,Cognitive Linguistics,Stability of familiarity judgments: Individual variation and the invariant bigger picture,https://doi.org/10.1515/cog-2015-0063,Likert scale; acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating ; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; magnitude estimation; meta-linguistic judgement; meta-linguistic judgment; meta-linguistic rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,De Gruyter (1993-2023)
Rui P. Chaves; Adriana King,2019,Cognitive Linguistics,A usage-based account of subextraction effects,https://doi.org/10.1515/cog-2018-0135,Likert scale; acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating ; intuitive judgement; intuitive judgment; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; magnitude estimation; naïve rating; ordinal ratings; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,De Gruyter (1993-2023)
Laura A. Janda; Robert J. Reynolds,2019,Cognitive Linguistics,Construal vs. redundancy: Russian aspect in context,https://doi.org/10.1515/cog-2017-0084,acceptability rating; grammaticality rating ; linguistic intuition rating; ordinal ratings,De Gruyter (1993-2023)
Alon Fishman,2020,Cognitive Linguistics,English similarity predicates construe particular dimensions of similarity,https://doi.org/10.1515/cog-2018-0086,acceptability judgment; acceptability rating; linguistic intuition judgment; linguistic intuition rating; ordinal ratings; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Susanne Flach,2020,Cognitive Linguistics,Schemas and the frequency/acceptability mismatch: Corpus distribution predicts sentence judgments,https://doi.org/10.1515/cog-2020-2040,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; intuitive judgment; magnitude estimation; naturalness judgment; naturalness rating; naïve rating; ordinal ratings; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Li Liu; Ben Ambridge,2021,Cognitive Linguistics,Balancing information-structure and semantic constraints on construction choice: building a computational model of passive and passive-like constructions in Mandarin Chinese,https://doi.org/10.1515/cog-2019-0100,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Tobias Ungerer,2021,Cognitive Linguistics,Using structural priming to test links between constructions: English caused-motion and resultative sentences inhibit each other,https://doi.org/10.1515/cog-2020-0016,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; magnitude estimation; meta-linguistic judgment; meta-linguistic rating; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Alexandra Engel; Jason Grafmiller; Laura Rosseel; Benedikt Szmrecsanyi,2022,Cognitive Linguistics,Assessing the complexity of lectal competence: the register-specificity of the dative alternation after give,https://doi.org/10.1515/cog-2021-0107,grammaticality judgment; grammaticality rating ; linguistic intuition judgment; linguistic intuition rating; naturalness judgment; naturalness rating; naïve rating; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
Alexandre Nikolaev; Neil Bermel,2022,Cognitive Linguistics,Explaining uncertainty and defectivity of inflectional paradigms,https://doi.org/10.1515/cog-2021-0041,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating ; intuitive judgment; linguistic intuition judgment; linguistic intuition rating; magnitude estimation; naïve rating; sentence judgment; syntactic judgment,De Gruyter (1993-2023)
